"country","iso_code","cases_total","deaths_total","cfr","shape2","shape1","cfr_hi","cfr_lo"
"AFRO Region","AFRO",1135678,21942,0.0193206172876467,1.90860857578018,0.00838656027299205,0.0195754465556822,0.019068243714935
"Angola","AGO",3942,108,0.0273972602739726,1.93131262739189,0.0101590318605295,0.0329834027355119,0.0225274282130879
"Burundi","BDI",5621,40,0.00711617149973314,1.9178460098803,0.0068476051092139,0.00967772385636867,0.00508862261873835
"Benin","BEN",3617,56,0.0154824440143766,1.90584468267043,0.00845863751601339,0.0200586681353745,0.0117159081320988
"Burkina Faso","BFA",7,0,0.0193206172876467,1.90860857578018,0.00838656027299205,0.0195754465556822,0.019068243714935
"Cote d'Ivoire","CIV",446,18,0.0403587443946188,1.86279019215144,0.0132138466462484,0.0630358330346678,0.0240915930830312
"Cameroon","CMR",29897,925,0.0309395591530923,1.93131262739189,0.0101590318605295,0.0329651911277858,0.0290057636720485
"Democratic Republic of Congo","COD",310792,5992,0.019279775541198,1.90990461022593,0.00842963960021646,0.0197693247686379,0.018799219331976
"Congo","COG",435,36,0.0827586206896552,1.9053033307544,0.0186866486910722,0.1127327838131,0.058634857789484
"Ethiopia","ETH",46877,660,0.0140793992789641,1.89283319469541,0.00772371664643199,0.0151872354296174,0.013032357147586
"Ghana","GHA",29814,251,0.0084188636211176,1.92502668835223,0.00681049674749286,0.00952209755833533,0.00741309821461583
"Guinea","GIN",1,0,0.0193206172876467,1.90860857578018,0.00838656027299205,0.0195754465556822,0.019068243714935
"Guinea-Bissau","GNB",11,2,0.0193206172876467,1.90860857578018,0.00838656027299205,0.0195754465556822,0.019068243714935
"Kenya","KEN",47343,678,0.0143210189468348,1.91996471516322,0.00781373577192337,0.0154320995344633,0.0132700937485212
"Liberia","LBR",580,0,0,1.93806064147502,0.00616376921534449,0.00633995412984043,0
"Mali","MLI",12,4,0.0193206172876467,1.90860857578018,0.00838656027299205,0.0195754465556822,0.019068243714935
"Mozambique","MOZ",84144,351,0.00417142042213349,1.89424570500851,0.00569225549697787,0.00463039863202816,0.00374716457656386
"Malawi","MWI",63879,1859,0.0291018957716934,1.87900788784027,0.0097214698791495,0.0304348233643477,0.0278119781849097
"Namibia","NAM",698,13,0.0186246418338109,1.91153857335448,0.0099461466073981,0.0316381348066243,0.00995317604096291
"Niger","NER",11639,334,0.0286966234212561,1.90132248401642,0.00992689132690341,0.0318930490081637,0.0257389394895659
"Nigeria","NGA",241522,6521,0.0269996108015005,1.89397634452325,0.00942173327784897,0.0276537902447492,0.026356815899653
"Rwanda","RWA",478,0,0,1.91898178942502,0.00643207281827838,0.00768761896764825,0
"Sudan","SDN",362,11,0.0303867403314917,1.85450936854884,0.0122066757555322,0.0537188851215656,0.0152645782473811
"Somalia","SOM",134839,1849,0.013712649900993,1.90616204440594,0.00764352083206088,0.0143476551244781,0.0130986856429839
"South Sudan","SSD",35871,715,0.0199325360318921,1.9144766406811,0.00866732724825763,0.0214323504222838,0.0185111739054736
