"country","region","iso_code","cases_total","deaths_total","year","cases_imported","cfr"
"Burundi","AFRO","BDI",1348,9,2023,NA,0.00667655786350148
"Cameroon","AFRO","CMR",6477,209,2023,NA,0.0322680253203644
"Congo","AFRO","COG",69,5,2023,NA,0.072463768115942
"Democratic Republic of Congo","AFRO","COD",51970,437,2023,NA,0.00840869732538003
"Eswatini","AFRO","SWZ",2,0,2023,NA,0
"Ethiopia","AFRO","ETH",30463,413,2023,NA,0.0135574303253127
"Kenya","AFRO","KEN",8926,145,2023,NA,0.0162446784673986
"Malawi","AFRO","MWI",41219,1179,2023,NA,0.028603314005677
"Mozambique","AFRO","MOZ",39908,156,2023,NA,0.00390899067856069
"Nigeria","AFRO","NGA",3683,128,2023,NA,0.0347542764051045
"South Africa","AFRO","ZAF",1391,47,2023,NA,0.0337886412652768
"South Sudan","AFRO","SSD",1471,2,2023,NA,0.00135961930659415
"Togo","AFRO","TGO",1,0,2023,NA,0
"Uganda","AFRO","UGA",80,10,2023,NA,0.125
"Tanzania","AFRO","TZA",1068,23,2023,NA,0.0215355805243446
"Zambia","AFRO","ZMB",4095,117,2023,NA,0.0285714285714286
"Zimbabwe","AFRO","ZWE",14517,320,2023,NA,0.022043121857133
"Angola","AFRO","AGO",1277,34,2024,NA,0.0266249021143305
"Burundi","AFRO","BDI",866,2,2024,NA,0.0023094688221709
"Congo","AFRO","COG",291,26,2024,NA,0.0893470790378007
"Democratic Republic of Congo","AFRO","COD",21229,611,2024,NA,0.0287813839559094
"Ethiopia","AFRO","ETH",53,1,2024,NA,0.0188679245283019
"Malawi","AFRO","MWI",1503,15,2024,NA,0.00998003992015968
"Mozambique","AFRO","MOZ",7085,63,2024,NA,0.00889202540578687
"Namibia","AFRO","NAM",213,0,2024,NA,0
"Nigeria","AFRO","NGA",591,5,2024,NA,0.00846023688663283
"Rwanda","AFRO","RWA",25,0,2024,NA,0
"South Sudan","AFRO","SSD",5354,63,2024,NA,0.0117669032499066
"Tanzania","AFRO","TZA",113,2,2024,NA,0.0176991150442478
"Zambia","AFRO","ZMB",921,14,2024,NA,0.0152008686210641
"Zimbabwe","AFRO","ZWE",36,2,2024,NA,0.0555555555555556
